word,count
A股,5
B超,4
D盘,1
Q版,7
T恤,4
一体,1
一准,1
一分货,4
一分钱,5
一哥,1
一块钱,1
一女,1
一定量,1
一家人,3
一幕幕,1
一念,1
一搏,2
一格,2
一楼,1
一气,1
一流,6
一滩,1
一瓣,1
一程,1
一等奖,1
一緒,1
一致性,2
一节课,1
一览,1
一辆车,2
一键,4
一题,1
七叶树,1
七哥,1
万事,1
万众,2
万物,11
丈夫,4
三亚,2
三位数,1
三妆化,1
三本,2
三者,1
三色,1
三鲜,1
上为,2
上买,1
上传,7
上位,1
上停,1
上写,1
上到,1
上升,37
上升期,1
上发,1
上台,4
上向,1
上周五,5
上唇,1
上嘴,1
上回,1
上头,6
上妆,20
上学,12
上市,11
上帅,1
上帝,4
上床,2
上当,4
上得,1
上心,2
上成,1
上手,3
上新,6
上星,2
上有,2
上朵,1
上水,26
上泉雄,1
上海,66
上海市,4
上涨,1
上火,1
上热,2
上班,32
上用,2
上瘾,3
上看,1
上科,2
上称,1
上空,1
上線,1
上线,13
上缴,1
上网,1
上脸,47
上行,2
上衣,1
上证指数,1
上课,5
上调,2
上贴,1
上路,3
上身,3
上车,2
上过,1
上进,1
上链,1
上长,3
上阵,1
上非,1
上马,1
下不去,1
下不来,1
下买,1
下修,5
下列,5
下到,1
下功夫,1
下午茶,1
下单,76
下叭,1
下品,1
下哦,2
下唇,1
下图,4
下场,2
下如,1
下定,4
下小,1
下巴,30
下床,3
下微,1
下意识,2
下戏,1
下手,6
下文,1
下新,1
下晒,1
下有,4
下架,5
下楼,1
下楼梯,2
下水,2
下水道,1
下海,1
下滑,2
下班,29
下线,1
下营,1
下要,2
下课,1
下赠,3
下跌,1
下车,2
下载,3
下退,2
下送,35
下重,1
下降,8
下雨,3
下雨天,3
下雪,1
下颂,5
下颌,1
下颚,1
下饭,2
不上,1
不下,3
不买,1
不了,35
不予,1
不亚于,1
不付,1
不会,235
不伤肤,2
不住,9
不信,1
不值,3
不值钱,2
不入,2
不关,1
不准,1
不减,3
不出,11
不利于,1
不到,46
不剩,1
不动,3
不卖,1
不卡粉,1
不压,1
不发,1
不变,9
不可,33
不吃,1
不合,4
不合理,1
不含,2
不售,1
不土,1
不堪,1
不够,53
不太会,1
不太好,11
不太能,1
不失,2
不妨,3
不妨一试,1
不寐,1
不对,4
不屈,1
不屑,1
不开,3
不得,3
不怪,1
不惑,1
不想,47
不成,2
不拔,4
不明,1
不服,1
不来,3
不欺,1
不止,15
不死,1
不求,1
不油,28
不济,2
不演,1
不火,1
不用,65
不畏,1
不痒,2
不白,1
不知,5
不确定性,3
不符,1
不算,15
不粘锅,4
不累,1
不耗,1
不肯,1
不能,117
不良率,1
不落,1
不藏,1
不行,46
不见,8
不解,1
不触,1
不认,1
不让,23
不该,2
不负,1
不费,1
不赖,1
不起,11
不足以,1
不输给,1
不辨,1
不送,1
不适感,2
不透气,1
不配,10
不销,1
不锈钢,5
不长,3
不长痘,1
不闷痘,64
不雷人,1
不靠,3
丑丑,1
丑小鸭,1
专业,35
专业人才,1
专业性,2
专业户,1
专业术语,1
专业知识,1
专为,1
专利,1
专利权,1
专卖,1
专卖店,2
专员,1
专场,2
专家,5
专属,61
专心,3
专柜,7
专治,1
专注,18
专用,9
专用设备,1
专研,1
专线,3
专能,1
专访,4
专辑,41
专里,1
专链,1
专门,20
专项,1
专题,4
世人,3
世奇,1
世家,2
世界,44
世界冠军,6
世纪,1
世芯,1
世道,2
世间,2
业余,1
业内人士,2
业务,20
业界,3
业绩,19
业者,3
东东,20
东亚,2
东京,19
东北,3
东区,1
东南,6
东方女性,1
东流,1
东站,1
东西,196
东阶,1
东风汽车,1
东鹅,2
丝儿,1
丝滑,1
丝绒,2
丝都,1
丢下,2
丢人,1
丢像,1
两国,1
两块钱,2
两扇门,1
两条路,1
两极,2
两极分化,2
两极化,1
两者,2
两辆车,1
两颊,7
严禁,1
严选,5
丧事,1
个亲,1
个人,58
个人信息,1
个人感觉,2
个体,1
个别,4
个刷头,1
个号,1
个头,1
个女,1
个妆,12
个妆用,1
个娃,1
个性,1
个护店,1
个护类,1
个教,1
个果,1
个肤,3
个菜,1
个资,1
个队,1
个雷,1
个面,1
个题,1
中东,4
中加,1
中卫,1
中危,1
中向,1
中和,4
中国,91
中国台湾,3
中国台湾地区,1
中场,1
中学,2
中学生,1
中山路,1
中岛,2
中帝,1
中建,1
中心,10
中心地带,1
中心店,1
中心是悼,1
中性,10
中性笔,1
中意,2
中文名,1
中文字幕,1
中标,1
中样,266
中环,2
中用,1
中票,1
中科,1
中签者,1
中美,1
中考,1
中芬,2
中药,2
中重度,1
中长筒,1
中风,2
中餐,1
丰收,2
丰都,1
串串,1
串联,1
临出,1
临场,1
临床,2
临睡前,3
临近,2
丸子,3
丹丹,1
丹麦,1
为主,12
为先,1
为准,1
为止,6
为民,8
为辅,1
主义,1
主人公,1
主体,1
主办方,1
主唱,1
主场,1
主子,1
主战场,2
主打,310
主持,11
主持人,4
主播,6
主板,1
主演,1
主观题,1
主语,1
主轴,2
主題,2
主页,7
主题,17
主题乐园,1
主题曲,1
丽萨,1
举例,1
举办,7
举动,1
举手,1
举报,4
举止,1
举行,7
举起,1
久违,2
久长,1
义利,1
之根,1
之谜,43
乌拉圭,1
乌鲁木齐,1
乐事,1
乐园,6
乐型,1
乐宾,1
乐成,1
乐敦,4
乐曲,4
乐肤,1
乐队,6
乘客,1
乙型,1
